Timestep,Cases,Hospitalizations,Deaths
49.0,2.0,,0.0
50.0,3.0,,1.0
51.0,22.0,,1.0
52.0,35.0,,1.0
53.0,45.0,,1.0
54.0,76.0,,1.0
55.0,90.0,,1.0
56.0,157.0,,2.0
57.0,301.0,,2.0
58.0,449.0,,3.0
59.0,590.0,,6.0
60.0,1086.0,,12.0
61.0,1374.0,,18.0
62.0,1846.0,,31.0
63.0,2302.0,,51.0
64.0,2721.0,,71.0
65.0,3369.0,,107.0
66.0,4203.0,,130.0
67.0,4527.0,,157.0
68.0,5258.0,,213.0
69.0,5902.0,,292.0
70.0,7072.0,,369.0
71.0,7979.0,,452.0
72.0,9092.0,,516.0
73.0,9572.0,,583.0
74.0,10178.0,,673.0
75.0,10650.0,,791.0
76.0,11279.0,,913.0
77.0,11053.0,,1033.0
78.0,10794.0,,1158.0
79.0,10126.0,,1368.0
80.0,9874.0,,1479.0
81.0,9117.0,,1579.0
82.0,8647.0,,1711.0
83.0,8225.0,,1884.0
84.0,7808.0,,2037.0
85.0,7418.0,,2117.0
86.0,7492.0,,2354.0
87.0,7040.0,,2438.0
88.0,7023.0,,2528.0
89.0,6606.0,,2612.0
90.0,5937.0,,2720.0
91.0,6258.0,,2961.0
92.0,6761.0,,3129.0
93.0,6691.0,,3237.0
94.0,6347.0,,3306.0
95.0,6422.0,,3470.0
96.0,6269.0,,3558.0
97.0,6692.0,,3724.0
98.0,6338.0,,3827.0
99.0,5927.0,,3946.0
100.0,5609.0,,4024.0
101.0,5813.0,,4179.0
102.0,5682.0,,4214.0
103.0,5470.0,,4297.0
104.0,4870.0,,4340.0
105.0,4631.0,,4414.0
106.0,4272.0,,4503.0
107.0,4009.0,,4561.0
108.0,3923.0,,4704.0
109.0,3718.0,,4728.0
110.0,3962.0,,4754.0
111.0,4012.0,,4844.0
112.0,3760.0,,4884.0
113.0,4491.0,,4959.0
114.0,4411.0,,4998.0
115.0,4377.0,,5054.0
116.0,4333.0,,5064.0
117.0,4224.0,,5088.0
118.0,4257.0,,5187.0
119.0,4497.0,,5233.0
120.0,3791.0,,5302.0
121.0,3697.0,,5331.0
122.0,3686.0,,5394.0
123.0,3659.0,,5398.0
124.0,3479.0,,5411.0
125.0,3250.0,,5438.0
126.0,2844.0,,5506.0
127.0,2735.0,,5543.0
128.0,2815.0,,5576.0
129.0,2541.0,,5631.0
130.0,2692.0,,5658.0
131.0,2686.0,,5685.0
132.0,2610.0,,5721.0
133.0,2655.0,,5739.0
134.0,2501.0,,5765.0
135.0,2737.0,,5837.0
136.0,2609.0,,5844.0
137.0,2183.0,,5855.0
138.0,2084.0,,5870.0
139.0,1878.0,,5879.0
140.0,1486.0,,5880.0
141.0,1415.0,,5910.0
142.0,794.0,,5915.0
143.0,881.0,,5940.0
144.0,1046.0,,5943.0
145.0,1040.0,,5945.0
146.0,1152.0,,5961.0
147.0,1355.0,,5963.0
148.0,1406.0,,5988.0
