date,case_census,hosp_census,cumulative_deaths
2020-07-27,457844.0,6100,148845
2020-07-28,454113.0,5257,150060
2020-07-29,450714.0,5387,151492
2020-07-30,452151.0,6288,152805
2020-07-31,441577.0,6034,153967
2020-08-01,435246.0,4504,155088
2020-08-02,426504.0,4471,155564
2020-08-03,408403.0,5063,156124
2020-08-04,405460.0,4844,157372
2020-08-05,395546.0,4911,158787
2020-08-06,386378.0,4920,159968
2020-08-07,382444.0,4656,161263
2020-08-08,388787.0,4149,162352
2020-08-09,396061.0,4095,162933
2020-08-10,405802.0,4796,163461
2020-08-11,401057.0,4456,164541
2020-08-12,402142.0,4594,166045
2020-08-13,393552.0,4827,167073
2020-08-14,403183.0,4740,168376
2020-08-15,391741.0,4173,169419
2020-08-16,372155.0,4578,170030
2020-08-17,358515.0,4744,170509
2020-08-18,346614.0,4273,171738
2020-08-19,337307.0,4421,172417
2020-08-20,330996.0,4173,173515
2020-08-21,308824.0,4520,174612
2020-08-22,301770.0,3704,175574
2020-08-23,299096.0,3770,176076
2020-08-24,295190.0,4367,176507
2020-08-25,292777.0,4419,177724
2020-08-26,289054.0,4178,178877
2020-08-27,294356.0,4666,179985
2020-08-28,292776.0,4611,180901
2020-08-29,290576.0,3915,181864
2020-08-30,292841.0,3905,182304
2020-08-31,292276.0,4122,182789
2020-09-01,291683.0,4077,183850
2020-09-02,289609.0,3841,184923
2020-09-03,284383.0,4065,185946
2020-09-04,286722.0,3768,186896
2020-09-05,286889.0,3312,187687
2020-09-06,281799.0,3419,188125
2020-09-07,272975.0,3667,188448
2020-09-08,258109.0,4544,188917
2020-09-09,251842.0,4501,190017
2020-09-10,246253.0,4464,190926
2020-09-11,242419.0,4055,192068
2020-09-12,244796.0,3754,192805
2020-09-13,256026.0,3045,193196
2020-09-14,264225.0,3892,193620
2020-09-15,274561.0,3477,194806
2020-09-16,279059.0,3569,195736
2020-09-17,284878.0,3528,196583
2020-09-18,290280.0,3436,197540
2020-09-19,290320.0,3073,198205
2020-09-20,291617.0,3216,198471
2020-09-21,290976.0,3747,198881
2020-09-22,291845.0,3689,199902
2020-09-23,294726.0,3577,200953
2020-09-24,298282.0,3643,201838
2020-09-25,295681.0,3711,202753
2020-09-26,293916.0,3294,203515
2020-09-27,286018.0,3697,203818
2020-09-28,290329.0,4102,204151
2020-09-29,294311.0,3992,205042
2020-09-30,291997.0,4034,205947
