date,case_census,hosp_census,cumulative_deaths
2020-07-14,5103.0,26,1426
2020-07-15,5716.0,22,1429
2020-07-16,5842.0,29,1435
2020-07-17,6208.0,26,1441
2020-07-18,6273.0,30,1448
2020-07-19,5984.0,29,1457
2020-07-20,6272.0,43,1468
2020-07-21,6186.0,29,1480
2020-07-22,5654.0,30,1488
2020-07-23,5750.0,29,1497
2020-07-24,5812.0,27,1510
2020-07-25,5672.0,28,1522
2020-07-26,5546.0,29,1537
2020-07-27,5573.0,26,1545
2020-07-28,5694.0,25,1558
2020-07-29,5740.0,29,1574
2020-07-30,5873.0,30,1587
2020-07-31,5689.0,29,1602
2020-08-01,5526.0,21,1618
2020-08-02,5411.0,29,1627
2020-08-03,5231.0,29,1637
2020-08-04,5137.0,30,1655
2020-08-05,5194.0,44,1676
2020-08-06,4929.0,19,1684
2020-08-07,4969.0,27,1701
2020-08-08,4936.0,25,1710
2020-08-09,4965.0,26,1721
2020-08-10,4775.0,39,1732
2020-08-11,4631.0,24,1740
2020-08-12,4441.0,24,1754
2020-08-13,4538.0,39,1764
2020-08-14,4380.0,44,1779
2020-08-15,4376.0,39,1790
2020-08-16,4070.0,28,1801
2020-08-17,4111.0,25,1808
2020-08-18,4107.0,23,1815
2020-08-19,4205.0,26,1827
2020-08-20,3898.0,21,1835
2020-08-21,3990.0,18,1839
2020-08-22,3861.0,12,1844
2020-08-23,3932.0,13,1848
2020-08-24,3747.0,28,1855
2020-08-25,3682.0,20,1861
2020-08-26,3527.0,25,1876
2020-08-27,3603.0,26,1885
2020-08-28,3390.0,25,1893
2020-08-29,3386.0,16,1898
2020-08-30,3352.0,18,1903
2020-08-31,3312.0,18,1911
2020-09-01,3317.0,45,1917
2020-09-02,3294.0,52,1923
2020-09-03,3207.0,37,1929
2020-09-04,3115.0,32,1931
2020-09-05,3072.0,34,1941
2020-09-06,3082.0,30,1947
2020-09-07,2973.0,35,1951
2020-09-08,2787.0,31,1953
2020-09-09,2726.0,17,1957
2020-09-10,2827.0,26,1964
2020-09-11,2803.0,23,1971
2020-09-12,2750.0,22,1977
2020-09-13,2750.0,30,1982
2020-09-14,2889.0,25,1989
2020-09-15,2985.0,32,1998
2020-09-16,2897.0,29,2006
2020-09-17,2716.0,35,2011
2020-09-18,2851.0,32,2019
2020-09-19,2871.0,22,2024
2020-09-20,2856.0,29,2032
2020-09-21,2865.0,25,2038
2020-09-22,3025.0,28,2049
2020-09-23,3198.0,24,2055
2020-09-24,3804.0,27,2061
2020-09-25,3808.0,22,2068
2020-09-26,3884.0,23,2072
2020-09-27,3960.0,20,2079
2020-09-28,4009.0,19,2086
2020-09-29,3996.0,17,2091
2020-09-30,4053.0,25,2098
2020-10-01,3747.0,24,2108
2020-10-02,3744.0,21,2114
2020-10-03,3753.0,18,2120
2020-10-04,3795.0,27,2124
2020-10-05,3828.0,23,2132
2020-10-06,3851.0,24,2143
2020-10-07,3969.0,30,2148
2020-10-08,3945.0,24,2155
2020-10-09,3864.0,31,2162
2020-10-10,4231.0,30,2165
2020-10-11,4186.0,36,2168
2020-10-12,4366.0,34,2180
2020-10-13,4531.0,28,2184
2020-10-14,4471.0,25,2193
2020-10-15,4553.0,22,2197
2020-10-16,4825.0,32,2202
2020-10-17,4556.0,26,2208
2020-10-18,4649.0,30,2218
2020-10-19,4533.0,30,2228
2020-10-20,4609.0,35,2234
2020-10-21,4611.0,27,2245
2020-10-22,4648.0,29,2256
2020-10-23,4774.0,32,2263
2020-10-24,4948.0,30,2274
2020-10-25,5077.0,29,2282
2020-10-26,5132.0,48,2291
2020-10-27,5087.0,45,2301
2020-10-28,5265.0,55,2313
2020-10-29,5563.0,58,2317
2020-10-30,5594.0,30,2328
2020-10-31,5732.0,31,2342
2020-11-01,6176.0,39,2350
2020-11-02,6372.0,38,2355
2020-11-03,7152.0,43,2365
2020-11-04,7394.0,45,2377
2020-11-05,8055.0,47,2389
2020-11-06,8820.0,57,2403
2020-11-07,9393.0,59,2408
2020-11-08,9598.0,50,2419
2020-11-09,10275.0,65,2429
2020-11-10,10404.0,77,2443
2020-11-11,11307.0,66,2450
2020-11-12,11783.0,55,2463
2020-11-13,12354.0,86,2474
2020-11-14,13153.0,53,2490
2020-11-15,13486.0,78,2502
2020-11-16,14653.0,76,2517
2020-11-17,14549.0,93,2529
2020-11-18,14629.0,107,2542
2020-11-19,14551.0,94,2554
2020-11-20,14105.0,99,2570
2020-11-21,14502.0,91,2592
2020-11-22,16479.0,84,2609
2020-11-23,17174.0,124,2628
2020-11-24,18638.0,101,2642
2020-11-25,19403.0,103,2659
2020-11-26,19302.0,90,2678
2020-11-27,19827.0,100,2692
2020-11-28,19287.0,91,2711
2020-11-29,17999.0,86,2728
2020-11-30,17177.0,106,2759
2020-12-01,17224.0,96,2780
2020-12-02,16647.0,107,2803
2020-12-03,16638.0,122,2820
2020-12-04,16090.0,99,2846
2020-12-05,15730.0,104,2864
2020-12-06,19277.0,101,2880
