state,date,inpatient_beds_used_covid
AK,2021/03/26,31
DC,2021/03/25,197
NH,2021/03/25,77
DE,2021/03/24,118
IA,2021/03/24,219
PR,2021/03/23,176
PR,2021/03/10,184
KS,2021/03/03,290
OR,2021/02/26,238
MA,2021/02/24,849
NE,2021/02/17,199
MA,2021/01/30,1610
MT,2021/01/30,121
ME,2021/01/29,207
PR,2021/01/29,298
ID,2021/01/23,205
RI,2021/01/23,391
MA,2021/01/22,1948
RI,2021/01/22,399
MA,2021/01/21,2005
PA,2021/01/21,4926
ID,2021/01/20,252
SD,2021/01/20,189
MT,2021/01/17,181
DC,2021/01/13,371
NC,2021/01/13,4015
OR,2021/01/13,512
RI,2021/01/10,449
MA,2021/01/09,2075
OR,2021/01/08,521
OR,2021/01/07,560
OR,2021/01/06,583
PR,2021/01/01,444
RI,2020/12/31,483
MA,2020/12/30,2207
RI,2020/12/30,471
UT,2020/12/29,551
PR,2020/12/17,669
LA,2020/12/10,1461
VI,2020/10/16,4
VI,2020/10/15,4
PR,2020/10/14,384
VI,2020/10/13,4
AR,2020/10/10,696
VT,2020/10/09,0
VI,2020/10/08,1
WV,2020/10/06,236
VI,2020/10/05,3
VI,2020/10/03,3
VI,2020/10/01,3
VT,2020/10/01,1
RI,2020/09/30,91
VI,2020/09/29,3
VI,2020/09/28,3
VI,2020/09/26,6
VI,2020/09/22,3
VT,2020/09/22,1
VI,2020/09/21,4
VI,2020/09/10,1
VT,2020/09/09,4
AK,2020/09/08,50
RI,2020/09/02,74
PR,2020/08/29,373
RI,2020/08/28,75
DE,2020/08/27,89
VI,2020/08/25,10
VI,2020/08/24,10
VI,2020/08/23,9
AK,2020/08/21,42
NJ,2020/08/21,191
VI,2020/08/20,14
DE,2020/08/18,69
NH,2020/08/17,33
VI,2020/08/15,8
SD,2020/08/08,70
WV,2020/08/02,418
RI,2020/07/31,71
NE,2020/07/29,192
NE,2020/07/28,197
SD,2020/07/26,59
DE,2020/07/24,145
HI,2020/07/23,65
ND,2020/07/22,45
VI,2020/07/19,2
ND,2020/07/15,16
PR,2020/07/15,6
AR,2020/07/10,570
PA,2020/07/01,851
MS,2020/06/22,634
