timepoints,I,D
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,2.0,0.0
50,3.0,1.0
51,22.0,1.0
52,35.0,1.0
53,45.0,1.0
54,76.0,1.0
55,90.0,1.0
56,157.0,2.0
57,301.0,2.0
58,449.0,3.0
59,590.0,6.0
60,1086.0,12.0
61,1374.0,18.0
62,1846.0,31.0
63,2302.0,51.0
64,2721.0,71.0
65,3369.0,107.0
66,4203.0,130.0
67,4527.0,157.0
68,5258.0,213.0
69,5902.0,292.0
70,7072.0,369.0
71,7979.0,452.0
72,9092.0,516.0
73,9572.0,583.0
74,10178.0,673.0
75,10650.0,791.0
76,11279.0,913.0
77,11053.0,1033.0
78,10794.0,1158.0
79,10126.0,1368.0
80,9874.0,1479.0
81,9117.0,1579.0
82,8647.0,1711.0
83,8225.0,1884.0
84,7808.0,2037.0
85,7418.0,2117.0
86,7492.0,2354.0
87,7040.0,2438.0
88,7023.0,2528.0
89,6606.0,2612.0
90,5937.0,2720.0
91,6258.0,2961.0
92,6761.0,3129.0
93,6691.0,3237.0
94,6347.0,3306.0
95,6422.0,3470.0
96,6269.0,3558.0
97,6692.0,3724.0
98,6338.0,3827.0
99,5927.0,3946.0
100,5609.0,4024.0
101,5813.0,4179.0
102,5682.0,4214.0
103,5470.0,4297.0
104,4870.0,4340.0
105,4631.0,4414.0
106,4272.0,4503.0
107,4009.0,4561.0
108,3923.0,4704.0
109,3718.0,4728.0
110,3962.0,4754.0
111,4012.0,4844.0
112,3760.0,4884.0
113,4491.0,4959.0
114,4411.0,4998.0
115,4377.0,5054.0
116,4333.0,5064.0
117,4224.0,5088.0
118,4257.0,5187.0
119,4497.0,5233.0
120,3791.0,5302.0
121,3697.0,5331.0
122,3686.0,5394.0
123,3659.0,5398.0
124,3479.0,5411.0
125,3250.0,5438.0
126,2844.0,5506.0
127,2735.0,5543.0
128,2815.0,5576.0
129,2541.0,5631.0
130,2692.0,5658.0
131,2686.0,5685.0
132,2610.0,5721.0
133,2655.0,5739.0
134,2501.0,5765.0
135,2737.0,5837.0
136,2609.0,5844.0
137,2183.0,5855.0
138,2084.0,5870.0
139,1878.0,5879.0
140,1486.0,5880.0
141,1415.0,5910.0
142,794.0,5915.0
143,881.0,5940.0
144,1046.0,5943.0
145,1040.0,5945.0
146,1152.0,5961.0
147,1355.0,5963.0
148,1406.0,5988.0
149,1492.0,5994.0
150,1749.0,6014.0
151,1694.0,6017.0
152,1818.0,6024.0
153,1862.0,6036.0
154,1983.0,6041.0
155,2123.0,6060.0
156,2151.0,6061.0
157,2064.0,6080.0
158,2153.0,6084.0
159,2191.0,6088.0
160,2469.0,6120.0
161,2553.0,6125.0
162,2694.0,6139.0
163,2850.0,6142.0
164,2897.0,6145.0
165,2986.0,6145.0
166,3012.0,6148.0
167,3132.0,6178.0
168,3355.0,6189.0
169,3385.0,6198.0
170,3523.0,6212.0
171,3763.0,6240.0
172,3862.0,6241.0
173,3970.0,6248.0
174,4024.0,6253.0
175,4441.0,6257.0
176,4729.0,6275.0
177,4888.0,6282.0
178,4975.0,6291.0
179,5040.0,6293.0
180,5142.0,6300.0
181,5144.0,6309.0
182,4788.0,6315.0
183,4615.0,6322.0
184,4467.0,6327.0
185,4253.0,6327.0
186,4823.0,6327.0
187,4803.0,6332.0
188,4853.0,6348.0
189,5118.0,6349.0
190,5295.0,6369.0
191,5487.0,6376.0
192,5712.0,6383.0
193,5045.0,6383.0
194,5151.0,6393.0
195,5140.0,6397.0
196,4830.0,6403.0
197,4699.0,6431.0
198,4632.0,6448.0
199,4621.0,6444.0
200,4708.0,6443.0
201,4691.0,6450.0
202,4705.0,6457.0
203,4500.0,6463.0
204,4859.0,6479.0
205,4987.0,6490.0
206,5213.0,6510.0
207,5006.0,6516.0
208,4909.0,6516.0
209,4826.0,6532.0
210,5104.0,6543.0
211,4505.0,6560.0
212,3629.0,6560.0
213,4106.0,6581.0
214,4558.0,6584.0
215,4895.0,6588.0
216,4998.0,6609.0
217,5132.0,6615.0
218,5433.0,6631.0
219,6227.0,6637.0
220,4802.0,6637.0
221,5339.0,6672.0
222,5006.0,6677.0
223,5034.0,6691.0
224,4825.0,6705.0
225,4764.0,6716.0
226,4964.0,6723.0
227,5782.0,6731.0
228,4503.0,6731.0
229,5146.0,6735.0
230,4863.0,6736.0
231,5182.0,6811.0
232,5361.0,6816.0
233,5712.0,6822.0
234,5687.0,6834.0
235,5687.0,6834.0
236,5763.0,6843.0
237,5946.0,6854.0
238,5766.0,6865.0
239,5808.0,6877.0
240,5236.0,6874.0
241,5006.0,6889.0
242,5006.0,6889.0
243,5299.0,6901.0
244,5369.0,6917.0
245,5456.0,6932.0
246,5568.0,6939.0
247,5828.0,6947.0
248,6261.0,6964.0
249,6261.0,6964.0
250,6092.0,6971.0
251,6454.0,6992.0
252,6759.0,7003.0
253,6654.0,7022.0
254,6599.0,7029.0
255,6854.0,7043.0
256,6854.0,7043.0
257,6980.0,7058.0
258,7020.0,7080.0
259,7036.0,7087.0
260,7436.0,7111.0
261,7775.0,7118.0
262,8124.0,7137.0
263,8124.0,7137.0
264,8569.0,7143.0
265,8780.0,7173.0
266,9185.0,7186.0
267,10225.0,7220.0
268,11067.0,7235.0
269,11440.0,7258.0
270,11440.0,7258.0
271,12120.0,7281.0
272,12630.0,7301.0
273,12876.0,7336.0
274,12596.0,7382.0
275,12353.0,7401.0
276,13776.0,7439.0
277,13776.0,7439.0
278,15201.0,7469.0
279,15970.0,7502.0
280,17564.0,7523.0
281,19356.0,7570.0
282,20713.0,7582.0
283,21228.0,7616.0
284,21228.0,7616.0
285,24119.0,7633.0
286,24884.0,7677.0
287,25683.0,7698.0
288,27555.0,7749.0
289,28511.0,7796.0
290,30984.0,7861.0
291,30984.0,7861.0
292,32819.0,7924.0
293,36366.0,8010.0
294,38683.0,8052.0
295,39987.0,8100.0
296,44235.0,8223.0
297,44975.0,8291.0
298,44975.0,8291.0
299,49136.0,8345.0
300,49965.0,8425.0
301,49516.0,8486.0
302,49902.0,8630.0
303,50593.0,8685.0
304,50406.0,8784.0
305,50406.0,8784.0
306,49339.0,8849.0
307,48254.0,9003.0
308,46902.0,9078.0
309,39391.0,9078.0
310,47212.0,9262.0
311,48092.0,9369.0
312,48092.0,9369.0
313,46544.0,9464.0
314,46243.0,9659.0
315,48884.0,9738.0
316,56442.0,9930.0
317,47377.0,10010.0
318,45229.0,10211.0
319,45229.0,10211.0
320,44136.0,10309.0
321,44242.0,10513.0
322,42116.0,10592.0
323,40755.0,10787.0
324,37871.0,10849.0
325,36644.0,11079.0
326,36644.0,11079.0
327,34304.0,11171.0
328,32997.0,11376.0
329,32236.0,11468.0
330,30440.0,11680.0
331,29753.0,11745.0
332,29067.0,11949.0
333,29067.0,11949.0
334,27161.0,12026.0
335,25073.0,12213.0
336,23794.0,12286.0
337,19393.0,12286.0
338,15040.0,12286.0
339,18673.0,12556.0
340,18673.0,12556.0
341,17137.0,12617.0
342,17780.0,12828.0
343,18359.0,12879.0
344,18359.0,12879.0
345,18359.0,12879.0
346,19172.0,13165.0
347,19172.0,13165.0
348,21214.0,13249.0
349,20565.0,13465.0
350,21424.0,13522.0
351,25610.0,13728.0
352,29169.0,13767.0
353,23792.0,13997.0
354,23792.0,13997.0
355,23493.0,14043.0
356,22974.0,14147.0
357,21439.0,14187.0
358,20479.0,14361.0
359,19953.0,14400.0
360,19242.0,14517.0
361,19242.0,14517.0
362,17602.0,14534.0
363,16448.0,14550.0
364,16604.0,14618.0
365,15886.0,14780.0
366,15352.0,14797.0
