,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89
0_4,0.14693441,0.184335916,0.084415079,0.038354137,0.053372021,0.078184877,0.095049098,0.081772366,0.061630929,0.042328035,0.036576249,0.028215785,0.023735941,0.015152084,0.010882747,0.007558315,0.00514577,0.006356242
5_9,0.097306967,0.413394831,0.138830124,0.025021019,0.021443177,0.03339394,0.042250451,0.04973357,0.050602533,0.037209539,0.027770128,0.019965917,0.016468651,0.009535871,0.006517758,0.004280089,0.002832174,0.003443261
10_14,0.042545073,0.132549769,0.381120541,0.12000108,0.021520663,0.02456201,0.031307188,0.040677532,0.05190792,0.05037583,0.037100342,0.022370613,0.016483176,0.009658603,0.006750957,0.004451198,0.002982421,0.003635084
15_19,0.019315225,0.023870338,0.119906706,0.384196944,0.079881124,0.04295666,0.034692096,0.038842569,0.0520479,0.062087981,0.054364063,0.033748617,0.020871617,0.012184973,0.007719798,0.005442538,0.00347362,0.004397232
20_24,0.032029324,0.024377507,0.025624803,0.09518987,0.201122296,0.114262057,0.068504222,0.058664231,0.066477396,0.079971146,0.085444117,0.062006776,0.038385143,0.018618878,0.011089578,0.007377717,0.005008397,0.005846542
25_29,0.048940918,0.039598892,0.030505913,0.053393981,0.119183811,0.140283894,0.094586794,0.071135396,0.071409385,0.079283564,0.084737231,0.068985923,0.047604891,0.020196928,0.011118718,0.007648863,0.00526661,0.006118289
30_34,0.065611433,0.055249569,0.042879167,0.047552626,0.078797917,0.104306812,0.114338442,0.089823466,0.078882449,0.078138767,0.076926011,0.064906574,0.048850269,0.022327181,0.012178922,0.007959223,0.005196748,0.006074425
35_39,0.05693492,0.065597578,0.056194979,0.053702257,0.068063051,0.079124057,0.090600467,0.106501962,0.096771869,0.085547767,0.076902391,0.060579338,0.047639409,0.022656035,0.013570521,0.008426357,0.005138821,0.006048222
40_44,0.039574341,0.061553572,0.066133174,0.066363708,0.071130335,0.073252242,0.073377658,0.089246658,0.11025655,0.101349022,0.083171039,0.060626196,0.045734438,0.022274236,0.014723633,0.009431712,0.005752372,0.006049115
45_49,0.025926123,0.043174745,0.061221285,0.075514342,0.081622268,0.077578838,0.069333719,0.075256842,0.096674969,0.119125407,0.10266395,0.066644685,0.045598201,0.020476103,0.014540233,0.010559568,0.006502969,0.007585752
50_54,0.023030889,0.033124966,0.046351117,0.067972914,0.089651916,0.085238627,0.070170282,0.069547132,0.081558396,0.105540716,0.127210371,0.088738599,0.05121343,0.019469811,0.013425647,0.01071715,0.007972393,0.009065646
55_59,0.022368004,0.029984056,0.035187122,0.05312556,0.081910604,0.087366758,0.074540493,0.068974327,0.074848041,0.086256365,0.11172134,0.121220268,0.080470953,0.026376442,0.0138737,0.01024314,0.008899787,0.012633039
60_64,0.024503007,0.032206014,0.033761721,0.042784008,0.066030103,0.078508223,0.073054735,0.070632917,0.07352606,0.076851293,0.083962481,0.104789308,0.128492151,0.055866945,0.021770881,0.011605437,0.007934898,0.013719819
65_69,0.029328106,0.034965363,0.037093407,0.04683264,0.060052489,0.06245218,0.062605717,0.062983007,0.067142803,0.064706734,0.05984968,0.06440102,0.104749903,0.125460943,0.06597463,0.024810001,0.010936824,0.015654553
70_74,0.031059593,0.035238829,0.038229033,0.043749754,0.052739759,0.050694707,0.050354068,0.055626483,0.065442102,0.067751535,0.060852849,0.049947579,0.06018944,0.097279777,0.128688925,0.070837056,0.024323949,0.016994562
75_79,0.030454128,0.032669314,0.035585151,0.043544678,0.049534644,0.049234404,0.046457978,0.048762828,0.059182966,0.069463694,0.068578653,0.0520618,0.045297031,0.051645957,0.10000563,0.123508655,0.061668733,0.032343758
80_84,0.030985703,0.032307029,0.035632868,0.04153419,0.050254576,0.050663226,0.045332653,0.044442892,0.053943981,0.063931254,0.076240925,0.067601377,0.046284911,0.034024409,0.051320143,0.092162628,0.108496311,0.074840923
85_89,0.033423598,0.034299572,0.03792608,0.045913942,0.051229217,0.051396481,0.046272869,0.045678133,0.049536989,0.065124128,0.075707693,0.083796425,0.069885686,0.042528671,0.031311617,0.042210652,0.065355313,0.128402934
