time,I,R,H,D,N,S
2020-08-05,846260.0,3873184,52859.0,158787,150000000.0,145068910.0
2020-08-06,838529.0,3946952,51679.0,159968,150000000.0,145002872.0
2020-08-07,824021.0,4009412,51078.0,161263,150000000.0,144954226.0
2020-08-08,824033.0,4063954,49840.0,162352,150000000.0,144899821.0
2020-08-09,822565.0,4123370,47647.0,162933,150000000.0,144843485.0
2020-08-10,814205.0,4187406,46409.0,163461,150000000.0,144788519.0
2020-08-11,806517.0,4250377,46361.0,164541,150000000.0,144732204.0
2020-08-12,797688.0,4318077,46484.0,166045,150000000.0,144671706.0
2020-08-13,779930.0,4381424,46248.0,167073,150000000.0,144625325.0
2020-08-14,785627.0,4437545,46144.0,168376,150000000.0,144562308.0
2020-08-15,780528.0,4483391,45406.0,169419,150000000.0,144521256.0
2020-08-16,768216.0,4524676,45064.0,170030,150000000.0,144492014.0
2020-08-17,764317.0,4585818,45152.0,170509,150000000.0,144434204.0
2020-08-18,747671.0,4638726,45276.0,171738,150000000.0,144396589.0
2020-08-19,739449.0,4698083,45602.0,172417,150000000.0,144344449.0
2020-08-20,724548.0,4757426,44979.0,173515,150000000.0,144299532.0
2020-08-21,712007.0,4820096,45043.0,174612,150000000.0,144248242.0
2020-08-22,693511.0,4873297,44153.0,175574,150000000.0,144213465.0
2020-08-23,671251.0,4924432,43096.0,176076,150000000.0,144185145.0
2020-08-24,653705.0,4980877,42723.0,176507,150000000.0,144146188.0
2020-08-25,639391.0,5034882,42969.0,177724,150000000.0,144105034.0
2020-08-26,626361.0,5085175,42569.0,178877,150000000.0,144067018.0
2020-08-27,625352.0,5154139,42491.0,179985,150000000.0,143998033.0
2020-08-28,601600.0,5205548,42829.0,180901,150000000.0,143969122.0
2020-08-29,592346.0,5239162,42323.0,181864,150000000.0,143944305.0
2020-08-30,591937.0,5276719,42055.0,182304,150000000.0,143906985.0
2020-08-31,587466.0,5321209,41657.0,182789,150000000.0,143866879.0
2020-09-01,584460.0,5366063,42030.0,183850,150000000.0,143823597.0
2020-09-02,578663.0,5410125,42101.0,184923,150000000.0,143784188.0
2020-09-03,578739.0,5457002,41799.0,185946,150000000.0,143736514.0
2020-09-04,579498.0,5501323,41148.0,186896,150000000.0,143691135.0
2020-09-05,577465.0,5532435,40282.0,187687,150000000.0,143662131.0
2020-09-06,574640.0,5566088,39035.0,188125,150000000.0,143632112.0
2020-09-07,565251.0,5608327,38091.0,188448,150000000.0,143599883.0
2020-09-08,549792.0,5650050,38720.0,188917,150000000.0,143572521.0
2020-09-09,541451.0,5699387,39316.0,190017,150000000.0,143529829.0
2020-09-10,530636.0,5744798,39658.0,190926,150000000.0,143493982.0
2020-09-11,529141.0,5786727,39636.0,192068,150000000.0,143452428.0
2020-09-12,531685.0,5820158,39549.0,192805,150000000.0,143415803.0
2020-09-13,537825.0,5853293,38529.0,193196,150000000.0,143377157.0
2020-09-14,537200.0,5894838,38653.0,193620,150000000.0,143335689.0
2020-09-15,532670.0,5933770,38818.0,194806,150000000.0,143299936.0
2020-09-16,530901.0,5978051,38968.0,195736,150000000.0,143256344.0
2020-09-17,531131.0,6025863,38829.0,196583,150000000.0,143207594.0
2020-09-18,532699.0,6068144,37721.0,197540,150000000.0,143163896.0
2020-09-19,535116.0,6096557,36293.0,198205,150000000.0,143133829.0
2020-09-20,547643.0,6120993,35045.0,198471,150000000.0,143097848.0
2020-09-21,555201.0,6147686,34737.0,198881,150000000.0,143063495.0
2020-09-22,566406.0,6180516,34672.0,199902,150000000.0,143018504.0
2020-09-23,573785.0,6219087,35204.0,200953,150000000.0,142970971.0
2020-09-24,583160.0,6263027,34955.0,201838,150000000.0,142917020.0
2020-09-25,585961.0,6307727,35189.0,202753,150000000.0,142868370.0
2020-09-26,584236.0,6347273,34914.0,203515,150000000.0,142830062.0
2020-09-27,577635.0,6379871,35083.0,203818,150000000.0,142803593.0
2020-09-28,581305.0,6416977,35749.0,204151,150000000.0,142761818.0
2020-09-29,586156.0,6454435,36668.0,205042,150000000.0,142717699.0
2020-09-30,586723.0,6498971,37486.0,205947,150000000.0,142670873.0
2020-10-01,587644.0,6548303,37630.0,206842,150000000.0,142619581.0
