timepoint_id,sample_id,timepoint_unknown,persistent_beta_param,persistent_gamma_param,persistent_S0_param,persistent_I0_param,persistent_R0_param,persistent_zeta_param,S_state,I_state,R_state,noninf_observable_state
0,0,0.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,2000.0,1.0,0.0,2000.0
1,0,1.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1999.5501708984375,1.4364073276519775,0.013322795741260052,1999.5634765625
2,0,2.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1998.9049072265625,2.0630576610565186,0.03245880454778671,1998.9373779296875
3,0,3.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1997.9776611328125,2.962660312652588,0.05994109809398651,1998.03759765625
4,0,4.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1996.6468505859375,4.2536540031433105,0.09940309077501297,1996.7462158203125
5,0,5.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1994.7386474609375,6.105376720428467,0.15605226159095764,1994.8946533203125
6,0,6.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1992.002197265625,8.759444236755371,0.2373448759317398,1992.239501953125
7,0,7.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1988.08642578125,12.559549331665039,0.35394036769866943,1988.4403076171875
8,0,8.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1982.4866943359375,17.9924259185791,0.5210449695587158,1983.0076904296875
9,0,9.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1974.496826171875,25.743072509765625,0.7602835893630981,1975.257080078125
10,0,10.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1963.13134765625,36.76668167114258,1.1022735834121704,1964.233642578125
11,0,11.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1947.0323486328125,52.377662658691406,1.590088963508606,1948.6224365234375
12,0,12.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1924.3668212890625,74.34989929199219,2.2837841510772705,1926.650634765625
13,0,13.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1892.7225341796875,105.0107650756836,3.266005516052246,1895.988525390625
14,0,14.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1849.066650390625,147.28469848632812,4.648431301116943,1853.715087890625
15,0,15.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1789.8076171875,204.6145477294922,6.578103542327881,1796.3857421875
16,0,16.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1711.11767578125,280.6404724121094,9.241657257080078,1720.359375
17,0,17.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1609.6219482421875,378.513916015625,12.864116668701172,1622.486083984375
18,0,18.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1483.5057373046875,499.7970275878906,17.69770622253418,1501.2034912109375
19,0,19.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1333.85595703125,643.1470947265625,23.997055053710938,1357.85302734375
20,0,20.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1165.6793212890625,803.3406372070312,31.98103904724121,1197.660400390625
21,0,21.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,987.8142700195312,971.3941040039062,41.78919219970703,1029.603515625
22,0,22.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,811.3489990234375,1136.2034912109375,53.44773483276367,864.7967529296875
23,0,23.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,646.9614868164062,1287.177978515625,66.86064147949219,713.8221435546875
24,0,24.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,502.51092529296875,1416.6600341796875,81.8291015625,584.3400268554688
25,0,25.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,381.87835693359375,1521.029541015625,98.09175872802734,479.9701232910156
26,0,26.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,285.2802734375,1600.35205078125,115.36832427978516,400.6485900878906
27,0,27.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,210.43756103515625,1657.1680908203125,133.39442443847656,343.83197021484375
28,0,28.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,153.8717041015625,1695.1873779296875,151.9409637451172,305.81268310546875
29,0,29.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,111.87737274169922,1718.300537109375,170.8222198486328,282.6995849609375
30,0,30.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,81.08417510986328,1730.02294921875,189.89309692382812,270.9772644042969
31,0,31.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,58.68681716918945,1733.269287109375,209.0439910888672,267.7308044433594
32,0,32.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,42.47626876831055,1730.3287353515625,228.1949005126953,270.6711730957031
33,0,33.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,30.773778915405273,1722.9385986328125,247.28746032714844,278.0612487792969
34,0,34.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,22.333131790161133,1712.3873291015625,266.2795715332031,288.6127014160156
35,0,35.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,16.243091583251953,1699.6104736328125,285.14208984375,301.38519287109375
36,0,36.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,11.84377384185791,1685.30126953125,303.8545837402344,315.6983642578125
37,0,37.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,8.65997314453125,1669.9376220703125,322.4024353027344,331.0624084472656
38,0,38.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,6.350649833679199,1653.87353515625,340.7763366699219,347.1269836425781
39,0,39.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,4.671347141265869,1637.3592529296875,358.969970703125,363.6413269042969
40,0,40.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,3.4468069076538086,1620.5694580078125,376.9794006347656,380.42620849609375
41,0,41.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,2.551274299621582,1603.6463623046875,394.80242919921875,397.35369873046875
42,0,42.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1.894404411315918,1586.6678466796875,412.43780517578125,414.33221435546875
43,0,43.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1.4111201763153076,1569.702392578125,429.8855895996094,431.2967224121094
44,0,44.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,1.054455280303955,1552.799560546875,447.14605712890625,448.20050048828125
45,0,45.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.7904205322265625,1535.9888916015625,464.220458984375,465.0108642578125
46,0,46.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.5943564772605896,1519.29638671875,481.1091003417969,481.7034606933594
47,0,47.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.4483146667480469,1502.7362060546875,497.81439208984375,498.2626953125
48,0,48.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.33919939398765564,1486.3238525390625,514.3369750976562,514.6761474609375
49,0,49.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.2574251890182495,1470.0635986328125,530.67919921875,530.9366455078125
50,0,50.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.1959562748670578,1453.9615478515625,546.8424682617188,547.0384521484375
51,0,51.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.14961156249046326,1438.0218505859375,562.82861328125,562.9782104492188
52,0,52.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.11456634849309921,1422.247314453125,578.6396484375,578.7542114257812
53,0,53.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.08798737823963165,1406.635009765625,594.27685546875,594.3648681640625
54,0,54.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.06777072697877884,1391.189208984375,609.74267578125,609.8104248046875
55,0,55.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.052349090576171875,1375.910400390625,625.0386962890625,625.091064453125
56,0,56.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.04055162891745567,1360.793212890625,640.1661987304688,640.2067260742188
57,0,57.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.03150108829140663,1345.840576171875,655.1277465820312,655.1592407226562
58,0,58.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.024538515135645866,1331.0498046875,669.9251708984375,669.94970703125
59,0,59.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.019167419523000717,1316.4224853515625,684.5595703125,684.5787353515625
60,0,60.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.015012643299996853,1301.9517822265625,699.0333251953125,699.04833984375
61,0,61.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.011790099553763866,1287.640380859375,713.3478393554688,713.359619140625
62,0,62.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.00928391981869936,1273.4854736328125,727.505126953125,727.514404296875
63,0,63.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.0073296986520290375,1259.4857177734375,741.5069580078125,741.5142822265625
64,0,64.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.00580188725143671,1245.6407470703125,755.3543701171875,755.3601684570312
65,0,65.0,0.04665502533316612,0.011055614799261093,2000.0,1.0,0.0,999.0,0.004604356829077005,1231.9449462890625,769.0497436523438,769.0543212890625
